method	actual_sparsity	p	q	metric	score
wandg_set_difference	0.003237	0.005	0.005	PPL	8.1277
wandg_set_difference	0.003237	0.005	0.005	inst_ASR_basic	0.0200
wandg_set_difference	0.003237	0.005	0.005	inst_ASR_basic_nosys	0.4400
wandg_set_difference	0.003237	0.005	0.005	inst_ASR_multiple_nosys	0.4240
wandg_set_difference	0.003237	0.005	0.005	no_inst_ASR_basic	0.2900
wandg_set_difference	0.003237	0.005	0.005	no_inst_ASR_basic_nosys	0.7000
wandg_set_difference	0.003237	0.005	0.005	no_inst_ASR_multiple_nosys	0.7900
wandg_set_difference	0.003237	0.005	0.005	ASR_gcg	0.9000
wandg_set_difference	0.003237	0.005	0.005	winogrande	0.6750
wandg_set_difference	0.003237	0.005	0.005	boolq	0.7750
wandg_set_difference	0.003237	0.005	0.005	arc_challenge	0.4200
wandg_set_difference	0.003237	0.005	0.005	rte	0.6800
wandg_set_difference	0.003237	0.005	0.005	openbookqa	0.2900
wandg_set_difference	0.003237	0.005	0.005	hellaswag	0.5350
wandg_set_difference	0.003237	0.005	0.005	averaged	0.5625
